full_name,unique_id,full_name,electoral_district,category_declaration,income_category,income_description,income_value,income_value_clean,taxes_value,property_category,property_description,property_location,property_date,property_legal,deposits_description,deposits_value,deposits_value_clean,other_financial_category,other_financial_description,other_financial_euros,other_financial_clean,vehicles_date,vehicles_description,other_nocat_description,other_nocat_value,debt_institution,debt_date,debt_amount,debt_amount_remain,debt_other,comments
ÁNGEL LUIS GONZÁLEZ MUÑOZ,ÁngelLuisGonzálezMuñoz,ÁNGEL LUIS GONZÁLEZ MUÑOZ,MALAGA,bienes patrimoniales,,,,,,Bienes de naturaleza urbana,Piso por herencia,Antequera - Málaga,2016,"16,66% propiedad, 8,33% nuda propiedad",,,,,,,,,,,,,,,,,
ÁNGEL LUIS GONZÁLEZ MUÑOZ,ÁngelLuisGonzálezMuñoz,ÁNGEL LUIS GONZÁLEZ MUÑOZ,,bienes patrimoniales,,,,,,Bienes de naturaleza urbana,Cochera herencia,Antequera - Málaga,2016,"16,66% propiedad, 8,33% nuda propiedad",,,,,,,,,,,,,,,,,
ÁNGEL LUIS GONZÁLEZ MUÑOZ,ÁngelLuisGonzálezMuñoz,ÁNGEL LUIS GONZÁLEZ MUÑOZ,,bienes patrimoniales,,,,,,Bienes de naturaleza rústica,Parcela rústica por herencia,Antequera - Málaga,2016,"16,66% propiedad, 8,33% nuda propiedad",,,,,,,,,,,,,,,,,
ÁNGEL LUIS GONZÁLEZ MUÑOZ,ÁngelLuisGonzálezMuñoz,ÁNGEL LUIS GONZÁLEZ MUÑOZ,,cantidad pagada por irpf,,,,,7310.21,,,,,,,,,,,,,,,,,,,,,,
ÁNGEL LUIS GONZÁLEZ MUÑOZ,ÁngelLuisGonzálezMuñoz,ÁNGEL LUIS GONZÁLEZ MUÑOZ,,deposits,,,,,,,,,,,2 cuentas corrientes en UNICAJA BANCO,2100,2100,,,,,,,,,,,,,,
ÁNGEL LUIS GONZÁLEZ MUÑOZ,ÁngelLuisGonzálezMuñoz,ÁNGEL LUIS GONZÁLEZ MUÑOZ,,deposits,,,,,,,,,,,Cuwnta corriente en Nationale Netherlande,,,,,,,,,,,,,,,,
ÁNGEL LUIS GONZÁLEZ MUÑOZ,ÁngelLuisGonzálezMuñoz,ÁNGEL LUIS GONZÁLEZ MUÑOZ,,dueda,,,,,,,,,,,,,,,,,,,,,,Prestamo hipotecario,40178,300000,"72741,62",72741.62,
ÁNGEL LUIS GONZÁLEZ MUÑOZ,ÁngelLuisGonzálezMuñoz,ÁNGEL LUIS GONZÁLEZ MUÑOZ,,dueda,,,,,,,,,,,,,,,,,,,,,,Prestamo hipotecario,43497,90000,"81794,18",81794.18,
ÁNGEL LUIS GONZÁLEZ MUÑOZ,ÁngelLuisGonzálezMuñoz,ÁNGEL LUIS GONZÁLEZ MUÑOZ,,dueda,,,,,,,,,,,,,,,,,,,,,,Prestamo hipotecario,44076,114000,"103433,28",103433.28,
ÁNGEL LUIS GONZÁLEZ MUÑOZ,ÁngelLuisGonzálezMuñoz,ÁNGEL LUIS GONZÁLEZ MUÑOZ,,dueda,,,,,,,,,,,,,,,,,,,,,,Prestamo consumo,44724,25000,"23760,90",23760.9,
ÁNGEL LUIS GONZÁLEZ MUÑOZ,ÁngelLuisGonzálezMuñoz,ÁNGEL LUIS GONZÁLEZ MUÑOZ,,dueda,,,,,,,,,,,,,,,,,,,,,,Prestamo Caixabank,44201,25000,20000,20000,
