,Gender,Group,GroupAbbr,Id,Legis,Link,LinkBienesPdf,Name
236,V,GRUPO PARLAMENTARIO SOCIALISTA,GPS,17185,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=17185,https://www.senado.es/legis14/senadores/regbi/DBR_176066.pdf,"POSE MESURA, MODESTO"
237,V,GRUPO PARLAMENTARIO SOCIALISTA,GPS,19465,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=19465,https://www.senado.es/legis14/senadores/regbi/DBR_100349.pdf,"POVEDA ZAPATA, ANTONIO"
238,M,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,17066,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=17066,https://www.senado.es/legis14/senadores/regbi/DBR_72703.pdf,"PRADAS TEN, SALOMÉ"
239,V,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,17353,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=17353,https://www.senado.es/legis14/senadores/regbi/DBR_122615.pdf,"PRIEGO CHACÓN, FERNANDO"
240,V,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,18106,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18106,https://www.senado.es/legis14/senadores/regbi/DBR_174389.pdf,"PUENTE REDONDO, JAVIER"
241,V,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,19505,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=19505,https://www.senado.es/legis14/senadores/regbi/DBR_106429.pdf,"RABOSO GARCÍA-BAQUERO, EDUARDO"
242,V,GRUPO PARLAMENTARIO SOCIALISTA,GPS,18234,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18234,https://www.senado.es/legis14/senadores/regbi/DBR_518.pdf,"RALLO LOMBARTE, ARTEMI VICENT"
243,V,GRUPO PARLAMENTARIO SOCIALISTA,GPS,19794,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=19794,,"RAMÍREZ GUTIÉRREZ, RAFAEL"
244,V,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,18108,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18108,https://www.senado.es/legis14/senadores/regbi/DBR_767.pdf,"RAMOS ACOSTA, SERGIO"
245,V,GRUPO PARLAMENTARIO SOCIALISTA,GPS,18886,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18886,https://www.senado.es/legis14/senadores/regbi/DBR_318.pdf,"RAMOS NEGRÍN, PEDRO MANUEL"
246,V,GRUPO PARLAMENTARIO ESQUERRA REPUBLICANA-EUSKAL HERRIA BILDU,GPERB,19486,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=19486,https://www.senado.es/legis14/senadores/regbi/DBR_176325.pdf,"RENIU VILAMALA, JOSEP MARIA"
247,M,GRUPO PARLAMENTARIO SOCIALISTA,GPS,18765,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18765,https://www.senado.es/legis14/senadores/regbi/DBR_863.pdf,"RETUERTO RODRÍGUEZ, LOURDES"
248,V,GRUPO PARLAMENTARIO SOCIALISTA,GPS,19565,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=19565,https://www.senado.es/legis14/senadores/regbi/DBR_114486.pdf,"REY DE LAS HERAS, LUIS ALFONSO"
249,M,GRUPO PARLAMENTARIO NACIONALISTA EN EL SENADO JUNTS PER CATALUNYA-COALICIÓN CANARIA/PARTIDO NACIONALISTA CANARIO,GPN,15294,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=15294,https://www.senado.es/legis14/senadores/regbi/DBR_378.pdf,"RIVERO SEGALÀS, MARIA TERESA"
250,V,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,17045,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=17045,https://www.senado.es/legis14/senadores/regbi/DBR_499.pdf,"ROBLES OROZCO, GONZALO JESÚS"
251,V,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,19045,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=19045,https://www.senado.es/legis14/senadores/regbi/DBR_535.pdf,"ROBLES RODRÍGUEZ, JOSÉ ANTONIO"
252,M,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,18109,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18109,https://www.senado.es/legis14/senadores/regbi/DBR_668.pdf,"RODRÍGUEZ CALLEJA, PATRICIA"
253,V,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,15205,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=15205,https://www.senado.es/legis14/senadores/regbi/DBR_650.pdf,"RODRÍGUEZ COMENDADOR PÉREZ, LUIS ROGELIO"
254,M,GRUPO PARLAMENTARIO MIXTO,GPMX,19787,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=19787,https://www.senado.es/legis14/senadores/regbi/DBR_153627.pdf,"RODRÍGUEZ DE MILLÁN PARRO, MARÍA JOSÉ"
255,V,GRUPO PARLAMENTARIO SOCIALISTA,GPS,15785,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=15785,https://www.senado.es/legis14/senadores/regbi/DBR_54878.pdf,"RODRÍGUEZ ESQUERDO, ANTONIO JULIÁN"
256,V,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,19049,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=19049,https://www.senado.es/legis14/senadores/regbi/DBR_312.pdf,"RODRÍGUEZ LÓPEZ, RAMÓN"
257,M,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,19062,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=19062,https://www.senado.es/legis14/senadores/regbi/DBR_1115.pdf,"ROJO NOGUERA, PILAR MILAGROS"
258,M,GRUPO PARLAMENTARIO SOCIALISTA,GPS,18232,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18232,https://www.senado.es/legis14/senadores/regbi/DBR_160593.pdf,"ROLDÁN MARTÍNEZ, DONELIA"
259,M,GRUPO PARLAMENTARIO CIUDADANOS,GPCs,17705,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=17705,https://www.senado.es/legis14/senadores/regbi/DBR_1208.pdf,"ROLDÁN SUÁREZ, LORENA"
260,V,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,19063,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=19063,https://www.senado.es/legis14/senadores/regbi/DBR_905.pdf,"ROLLÁN OJEDA, PEDRO MANUEL"
261,V,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,12864,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=12864,https://www.senado.es/legis14/senadores/regbi/DBR_131535.pdf,"ROMÁN JASANADA, ANTONIO"
262,V,GRUPO PARLAMENTARIO MIXTO,GPMX,19106,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=19106,,"ROS ALCAIDE, JUAN"
263,V,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,18112,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18112,https://www.senado.es/legis14/senadores/regbi/DBR_926.pdf,"ROSA TORNER, FERNANDO DE"
264,M,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,16685,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=16685,https://www.senado.es/legis14/senadores/regbi/DBR_412.pdf,"RUDI ÚBEDA, LUISA FERNANDA"
265,V,GRUPO PARLAMENTARIO ESQUERRA REPUBLICANA-EUSKAL HERRIA BILDU,GPERB,17107,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=17107,https://www.senado.es/legis14/senadores/regbi/DBR_177841.pdf,"RUFÀ GRÀCIA, JOSEP"
266,V,GRUPO PARLAMENTARIO SOCIALISTA,GPS,18231,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18231,https://www.senado.es/legis14/senadores/regbi/DBR_663.pdf,"RUIZ DE DIEGO, VÍCTOR JAVIER"
267,M,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,17965,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=17965,https://www.senado.es/legis14/senadores/regbi/DBR_153638.pdf,"RUIZ-SILLERO BERNAL, MARÍA TERESA"
268,V,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,18113,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18113,https://www.senado.es/legis14/senadores/regbi/DBR_1168.pdf,"RUZ VILLANUEVA, PABLO"
269,M,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,12936,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=12936,https://www.senado.es/legis14/senadores/regbi/DBR_1189.pdf,"SALANUEVA MURGUIALDAY, AMELIA"
270,M,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,18115,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18115,https://www.senado.es/legis14/senadores/regbi/DBR_671.pdf,"SALOM COLL, MARÍA"
