unique_id,full_name,first_name,last_name,party,political_group,political_group_IW,gender,congress_page
CarmeloRomeroHernandez ,Carmelo Romero Hernandez ,Carmelo,Romero Hernandez     ,PP,GPP,GP. Popular en el congreso,M,#N/A
Carmencalvopoyato,Carmen  Calvo Poyato, Carmen  ,Calvo Poyato,PP,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=258&idLegislatura=14
Carmencalvopoyato,Carmen  Calvo Poyato, Carmen  ,Calvo Poyato,PP,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=258&idLegislatura=14
Carolinatelecheailozano,Carolina  Telechea I Lozano, Carolina  ,Telechea i Lozano,PSOE,GPR ,GP. Republicano,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=188&idLegislatura=14
Cayetanaalvarezdetoledoperalta-Ramos,Cayetana  Álvarez De Toledo Peralta-Ramos, Cayetana  ,Álvarez de Toledo Peralta-Ramos,PP,GPP ,GP. Popular en el congreso,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=308&idLegislatura=14
Celsoluisdelgadoarce,Celso Luis  Delgado Arce, Celso Luis  ,Delgado Arce,PP,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=116&idLegislatura=14
Césarjoaquínramosesteban,César Joaquín  Ramos Esteban, César Joaquín  ,Ramos Esteban,PSOE,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=178&idLegislatura=14
Césarsánchezpérez,César  Sánchez Pérez, César  ,Sánchez Pérez,PP,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=249&idLegislatura=14
Concepcañadellsalvia,Concep  Cañadell Salvia, Concep  ,Cañadell Salvia,PDeCAT/Plural,GPPlu ,GP. Plural,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=21&idLegislatura=14
Concepcióngamarraruiz-Clavijo,Concepción  Gamarra Ruiz-Clavijo, Concepción  ,Gamarra Ruiz-Clavijo,PP,GPP ,GP. Popular en el congreso,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=261&idLegislatura=14
Cristinaaliciaestebancalonje,Cristina Alicia  Esteban Calonje, Cristina Alicia  ,Esteban Calonje,PSOE,GPVOX ,GP. VOX,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=297&idLegislatura=14
Cristinaaliciaestebancalonje,Cristina Alicia  Esteban Calonje, Cristina Alicia  ,Esteban Calonje,PSOE,GPVOX ,GP. VOX,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=297&idLegislatura=14
