unique_id,full_name,first_name,last_name,political_group,gender,congress_page
PatriciaDelasHerasFernández,Patricia  De Las Heras Fernández, Patricia  ,De las Heras Fernández,GVOX ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=248&idLegislatura=14
LlanosDeLunaTobarra,Llanos  De Luna Tobarra, Llanos  ,De Luna Tobarra,GP ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=157&idLegislatura=14
RocíoDeMeerMéndez,Rocío  De Meer Méndez, Rocío  ,De Meer Méndez,GVOX ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=340&idLegislatura=14
JulioDelValledeIscar,Julio  Del Valle De Iscar, Julio  ,Del Valle de Iscar,GS ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=360&idLegislatura=14
EmilioJesúsDelValleRodríguez,Emilio Jesús  Del Valle Rodríguez, Emilio Jesús  ,Del Valle Rodríguez,GVOX ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=175&idLegislatura=14
CelsoLuisDelgadoArce,Celso Luis  Delgado Arce, Celso Luis  ,Delgado Arce,GP ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=116&idLegislatura=14
GuillermoDíazGómez,Guillermo  Díaz Gómez, Guillermo  ,Díaz Gómez,GCs ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=122&idLegislatura=14
YolandaDíazPérez,Yolanda  Díaz Pérez, Yolanda  ,Díaz Pérez,GCUP-EC-GC ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=171&idLegislatura=14
LucAndreDioufDioh,Luc Andre  Diouf Dioh, Luc Andre  ,Diouf Dioh,GS ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=221&idLegislatura=14
JoséCarlosDuránPeralta,José Carlos  Durán Peralta, José Carlos  ,Durán Peralta,GS ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=342&idLegislatura=14
JoséIgnacioEchánizSalgado,José Ignacio  Echániz Salgado, José Ignacio  ,Echániz Salgado,GP ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=89&idLegislatura=14
PabloEcheniqueRobba,Pablo  Echenique Robba, Pablo  ,Echenique Robba,GCUP-EC-GC ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=13&idLegislatura=14
MaríaGloriaElizoSerrano,María Gloria  Elizo Serrano, María Gloria  ,Elizo Serrano,GCUP-EC-GC ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=300&idLegislatura=14
OdónElorzaGonzález,Odón  Elorza González, Odón  ,Elorza González,GS ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=324&idLegislatura=14
FrancescXavierEritjaCiuró,Francesc Xavier  Eritja Ciuró, Francesc Xavier  ,Eritja Ciuró,GR ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=186&idLegislatura=14
ÍñigoErrejónGalván,Íñigo  Errejón Galván, Íñigo  ,Errejón Galván,GPlu ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=233&idLegislatura=14
